dataset,model,feature_type,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,accuracy,train_time_sec,inference_time_sec,random_seed
dataset_1,bert,distilbert,0.6764180573031936,0.6822222222222223,0.6750418411280569,0.6764180573031936,0.6822222222222222,0.6750418411280568,0.6822222222222222,29.232568979263306,0.8846299648284912,42
dataset_1,naive_bayes,tfidf_unigram_bigram,0.593578496755977,0.55,0.5382846236470809,0.593578496755977,0.55,0.5382846236470807,0.55,0.8881752490997314,0.0527670383453369,42
dataset_1,svm,tfidf_unigram_bigram,0.5739591238755458,0.5777777777777777,0.5736154418181887,0.5739591238755458,0.5777777777777777,0.5736154418181886,0.5777777777777777,0.7649953365325928,0.0528717041015625,42
dataset_1,word2vec,word2vec_avg_logreg,0.4335565640228869,0.4433333333333333,0.4290620343192682,0.4335565640228868,0.4433333333333333,0.4290620343192682,0.4433333333333333,5.466201066970825,0.0873887538909912,42
dataset_2,bert,distilbert,0.9944527538881272,0.9944393033908038,0.9944400771259544,0.994451947475698,0.994440120093406,0.9944400822820484,0.994440120093406,605.268792629242,20.718791246414185,42
dataset_2,naive_bayes,tfidf_unigram_bigram,0.9845055436036788,0.9843179096778152,0.9843195681781958,0.9845024180962164,0.9843211386634048,0.9843196205277028,0.9843211386634048,3.814650535583496,0.3517823219299316,42
dataset_2,svm,tfidf_unigram_bigram,0.9895622247297958,0.9895465343390784,0.989547331555079,0.9895613542030786,0.9895474257756032,0.989547342024026,0.9895474257756032,3.341118097305298,0.2995080947875976,42
dataset_2,word2vec,word2vec_avg_logreg,0.9858937985864936,0.9858769760976452,0.9858777681351184,0.985892898951631,0.9858779050372511,0.9858777828032042,0.9858779050372511,40.40139031410217,0.4808855056762695,42
